City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bukachacha,52.98,116.92,287.18,55,59,4.95,RU,1595288147
puerto ayora,-0.74,-90.35,294.26,85,94,2.68,EC,1595287989
chokurdakh,70.63,147.92,299.06,38,76,6.44,RU,1595288147
banda aceh,5.56,95.32,299.74,78,93,1.32,ID,1595288147
sompeta,18.93,84.6,301.12,82,100,6.12,IN,1595288147
vaini,-21.2,-175.2,297.15,64,0,3.6,TO,1595287913
hermanus,-34.42,19.23,285.93,70,1,0.89,ZA,1595288106
cape town,-33.93,18.42,283.15,93,0,2.1,ZA,1595287661
ulladulla,-35.35,150.47,284.26,53,1,4.1,AU,1595288147
mataura,-46.19,168.86,281.81,83,80,1.65,NZ,1595287899
rikitea,-23.12,-134.97,293.33,59,89,5.92,PF,1595288148
wattegama,6.8,81.48,297.6,84,100,1.07,LK,1595288148
seymchan,62.88,152.43,296.52,41,1,4.12,RU,1595288148
araouane,18.9,-3.53,310.04,25,72,4.85,ML,1595287920
makakilo city,21.35,-158.09,305.15,43,20,2.6,US,1595288148
geraldton,-28.77,114.6,282.15,76,0,7.2,AU,1595288003
arraial do cabo,-22.97,-42.03,294.73,84,0,8.38,BR,1595288143
tuatapere,-46.13,167.68,282.95,80,88,3.51,NZ,1595288148
samarai,-10.62,150.67,298.58,79,77,7.46,PG,1595287916
hobart,-42.88,147.33,283.71,76,75,3.1,AU,1595288020
talnakh,69.49,88.4,283.15,100,90,4.0,RU,1595287907
raga,8.46,25.68,292.89,96,24,1.1,SS,1595288148
provideniya,64.38,-173.3,283.15,81,90,5.0,RU,1595287987
hilo,19.73,-155.09,302.15,58,40,4.6,US,1595288149
novikovo,51.15,37.89,288.54,85,15,1.71,RU,1595288149
saskylakh,71.92,114.08,287.39,50,77,3.69,RU,1595288149
atuona,-9.8,-139.03,299.86,79,56,7.33,PF,1595288149
talen,23.57,76.72,298.74,87,95,4.07,IN,1595288149
saldanha,-33.01,17.94,282.15,81,0,1.0,ZA,1595288000
zhigansk,66.77,123.37,290.67,98,100,5.11,RU,1595288149
matara,5.95,80.54,298.48,90,100,3.05,LK,1595288149
kapaa,22.08,-159.32,302.59,62,1,6.7,US,1595288149
sao felix do xingu,-6.64,-51.99,296.29,54,35,1.0,BR,1595287934
punta arenas,-53.15,-70.92,272.15,92,90,2.6,CL,1595287985
nhamunda,-2.19,-56.71,298.91,71,69,1.48,BR,1595288150
clyde river,70.47,-68.59,279.15,100,90,5.7,CA,1595288115
okhotsk,59.38,143.3,288.37,80,88,2.08,RU,1595288150
hithadhoo,-0.6,73.08,302.07,77,96,6.43,MV,1595288150
ribeira grande,38.52,-28.7,293.93,71,96,1.34,PT,1595288150
carnarvon,-24.87,113.63,284.15,81,0,3.6,AU,1595288097
petrov val,50.14,45.21,292.14,61,85,1.4,RU,1595288150
anchorage,61.22,-149.9,294.15,56,1,1.04,US,1595288052
orcopampa,-15.27,-72.34,283.68,41,93,2.41,PE,1595288151
filingue,14.35,3.32,306.02,42,20,7.48,NE,1595288151
poncitlan,20.37,-102.92,301.48,39,40,4.1,MX,1595288151
bluff,-46.6,168.33,283.34,77,89,4.7,NZ,1595288152
vokhtoga,58.81,41.05,287.63,97,95,2.98,RU,1595288152
ushuaia,-54.8,-68.3,271.15,92,2,2.1,AR,1595287899
verkhnyaya sinyachikha,57.98,61.67,284.38,87,59,3.17,RU,1595288152
haines junction,60.75,-137.51,292.65,44,75,4.15,CA,1595288152
